Temp_klip_ttl,k_klip_ttl,,temp_experimental,experimental_data,,temp_klip,k_klip,,T_original_low_b,k_original_low_b,,T_original_b,k_original_b,,T_original_high_b,k_original_high_b,,T_original_low_r,k_original_low_r,,T_original_r,k_original_r,,T_original_high_r,k_original_high_r
622.770792241946,406419333197.924,,999.137669441233,1768410063611.37,,,,,1764.08709487235,932163693349.342,,2048.82530144808,2118458744902.94,,1847.24073042102,2725139144467.11,,1686.47703502693,263809169765.843,,1713.69095211559,964424792267.225,,1707.39143427099,3320386412281.49
642.001561472716,406419333197.924,,1059.69670547474,1805119219861.69,,,,,1784.24555197506,957727624611.581,,2076.5431799643,2177703188686.72,,1868.65909109264,2775051259166.15,,1718.73056639126,280558330161.463,,1741.40883063181,1004663450765.15,,1746.44844490749,3445723047957.53
661.23746712689,409429835775.23,,1056.84659734732,1982959788892.49,,,,,1822.04265904264,1010010230126.84,,2104.26105848052,2242108399203.95,,1905.1962945913,2904626032273.79,,1738.88902349397,291106716770.957,,1769.12670914803,1043312366435.51,,1766.60690201019,3515940619853.29
677.273380999343,415517905926.752,,1011.97467936284,2050030606792.19,,,,,1843.46101971426,1034693838415.76,,2131.97893699675,2308418383137.19,,1926.61465526292,2965545717422.58,,1774.16632342371,314132225311.644,,1796.84458766425,1084295682253.08,,1804.40400907777,3632680594585.32
693.309294871795,421696503428.581,,1082.44379486904,2755787194772.79,,,,,1879.99822321292,1093502399639.63,,2159.69681551297,2367414681760.29,,1965.67166589942,3088739360971.76,,1795.58468409533,324758725747.285,,1824.56246618047,1126008011245.66,,1825.82236974939,3695359656536.42
709.350345167653,431137088539.893,,1095.8031965768,2542723891692.62,,,,,1901.41658388454,1118475790472.92,,2187.41469402919,2435525236093.82,,1987.09002657104,3142033142441.49,,1832.12188759399,350084146224.929,,1852.28034469669,1170239770997.21,,1864.87938038589,3823870493524.59
722.181130834977,437547937507.416,,1116.88324159468,2543083742959.25,,,,,1940.47359452104,1178377220307.08,,2215.13257254541,2493866514561.09,,2026.14703720754,3274264917051.05,,1853.54024826561,361785345352.639,,1879.99822321292,1214308358651.19,,1886.29774105751,3892891465087.31
738.222181130835,447343391135.164,,1127.02378803185,3028251737948.39,,,,,1961.89195519266,1202151258484.32,,2242.85045106163,2563609545848.17,,2046.30549431024,3346217923531.72,,1890.07745176427,389540981805.055,,1907.71610172914,1258067296032.63,,1925.35475169401,4028271722215.34
754.263231426693,457358137104.5,,1210.18395104882,1590563611927.05,,,,,1998.42915869132,1265849556849.1,,2270.56832957785,2622967012866.21,,2084.10260137782,3465443056663.31,,1911.49581243589,401879483811.877,,1935.43398024536,1304422803570.7,,1945.51320879671,4110360577104
770.314554569362,474550080366.507,,1233.97582401543,1538307463912.44,,,,,2019.84751936294,1295771915691.22,,2298.28620809407,2683698834608.62,,2105.52096204944,3532135204138.64,,1950.55282307239,431424192950.005,,1963.15185876158,1350372700496.89,,1983.31031586429,4243517354047.15
779.940212031558,481606464457.84,,,,,,,,2058.90452999943,1358778247708.41,,2326.00408661029,2752286183859.34,,2144.57797268594,3656399087929.45,,1970.71128017509,444505319289.971,,1990.8697372778,1400129348725.87,,2004.72867653591,4313923745597.77
789.565869493754,488767774369.448,,,,,,,,2080.32289067106,1384747323771.66,,2353.72196512652,2811611405224.64,,2165.99633335756,3715611195999.13,,2008.50838724267,474079598547.611,,2018.58761579402,1448317589246.41,,2043.7856871724,4449424457565.6
808.817184418146,503411435685.691,,,,,,,,2119.37990130755,1451701582547.8,,2381.43984364274,2869970161248.78,,2205.05334399406,3857877354096.18,,2028.66684434537,488836194658.77,,2046.30549431024,1498164324052.9,,2065.20404784403,4512059853304.58
824.868507560815,522334507426.683,,,,,,,,2139.53835841026,1484067331359.7,,2409.15772215896,2931832047605.77,,2225.21180109676,3925427352710.29,,2066.46395141295,520952393101.209,,2074.02337282646,1548515210545.32,,2104.26105848052,4668972479458.1
840.919830703485,541968891264.958,,,,,,,,2177.33546547783,1544897431336.94,,2436.87560067518,2988009200604.62,,2263.00890816434,4048158754263.28,,2087.88231208457,536054131879.669,,2101.74125134269,1600558309120.15,,2124.41951558323,4739592219554.9
863.38141025641,562341325190.347,,,,,,,,2198.75382614946,1574628846812.62,,2464.5934791914,3047645117629.64,,2284.42726883596,4123377247690.46,,2124.41951558323,570225588757.059,,2129.45912985891,1650473901507.07,,2164.73642978864,4876419542525.8
882.637861604208,583479552264.998,,,,,,,,2237.81083678595,1641538477576.46,,2491.0514541387,3096795287961.38,,2323.48427947246,4234640307983.28,,2145.83787625486,586144216945.865,,2157.17700837513,1701946179676.17,,2184.89488689135,4941667950925.25
901.894312952005,605412358403.726,,,,,,,,2257.96929388866,1672633969885.01,,,,,2344.90264014408,4281956623693.49,,2182.37507975351,621237466388.115,,2184.89488689135,1753651787079.04,,2222.69199395892,5085026400548.46
927.571293556871,637510261249.119,,,,,,,,2295.76640095623,1738743984558.99,,,,,2383.95965078058,4415877667096.39,,2203.79344042514,639079730313.668,,2212.61276540757,1804104374133.69,,2244.11035463055,5162661589985.1
959.668803418803,681292069057.959,,,,,,,,2317.18476162786,1767592385441.91,,,,,2404.11810788328,4487579621395.91,,2242.85045106163,675768108854.597,,2240.33064392379,1856008482841.17,,2283.16736526704,5277837216955.46
985.340647600263,712137904942.44,,,,,,,,2356.24177226435,1828824286782.08,,,,,2444.43502208869,4594081300268.34,,2263.00890816434,694409170247.018,,2268.04852244001,1907913288865.12,,2304.58572593867,5330553369880.4
1011.02276462853,755448960953.492,,,,,,,,2376.40022936706,1862593373222.32,,,,,2464.5934791914,4662838955359.43,,2300.80601523191,732202624931.915,,2295.76640095623,1959736528934.06,,2343.64273657516,5473676785605.4
1030.28435239974,789652286849.97,,,,,,,,2416.71714357247,1923571441009.05,,,,,2493.57126127654,4752973159217.62,,2322.22437590354,749999144778.59,,2323.48427947246,2017695411650.49,,2363.80119367787,5543447634567.86
1055.95106015779,819335058863.573,,,,,,,,2436.87560067518,1955416621918.73,,,,,,,,2361.28138654003,790887557505.735,,2351.20215798868,2066027873219.24,,2404.11810788328,5645793100387.36
1075.20751150559,850133596599.74,,,,,,,,2474.67270774275,2016869591336.72,,,,,,,,2381.43984364274,810039298542.85,,2378.9200365049,2120486979293.39,,2424.27656498599,5710608202945.4
1104.09475673899,901837323593.723,,,,,,,,2493.57126127654,2045755285471.01,,,,,,,,2419.23695071031,851591586985.086,,2406.63791502112,2172980361007.79,,2462.07367205356,5795950705517.25
1126.56147271532,942668455117.882,,,,,,,,,,,,,,,,,2440.65531138194,870132483288.013,,2434.35579353734,2225032563328.13,,2483.49203272519,5842408705135.4
1152.23845332018,992647085497.303,,,,,,,,,,,,,,,,,2479.71232201843,916255760039.512,,2462.07367205356,2281897768748.05,,,
1177.90516107824,1029960365809.99,,,,,,,,,,,,,,,,,2496.09106841438,935192884683.996,,2489.79155056978,2329261609608.47,,,
1206.78213346483,1076592331532.45,,,,,,,,,,,,,,,,,,,,,,,,
1222.8334566075,1117061086275.06,,,,,,,,,,,,,,,,,,,,,,,,
1242.08477153189,1150528645051.96,,,,,,,,,,,,,,,,,,,,,,,,
1261.33608645628,1184998904132.59,,,,,,,,,,,,,,,,,,,,,,,,
1274.17200854701,1211527658628.59,,,,,,,,,,,,,,,,,,,,,,,,
1290.21819526627,1247825470470.02,,,,,,,,,,,,,,,,,,,,,,,,
1306.25924556213,1275760733063.51,,,,,,,,,,,,,,,,,,,,,,,,
1319.10030407627,1313982991312.11,,,,,,,,,,,,,,,,,,,,,,,,
1338.34648257725,1343399332598.89,,,,,,,,,,,,,,,,,,,,,,,,
1364.01832675871,1404222402795.45,,,,,,,,,,,,,,,,,,,,,,,,
1383.2696416831,1446293419661.79,,,,,,,,,,,,,,,,,,,,,,,,
1396.10556377383,1478671815055.71,,,,,,,,,,,,,,,,,,,,,,,,
1415.35174227482,1511775070615.65,,,,,,,,,,,,,,,,,,,,,,,,
1431.40306541749,1568602202638.47,,,,,,,,,,,,,,,,,,,,,,,,
1450.65438034188,1615598098439.87,,,,,,,,,,,,,,,,,,,,,,,,
1463.4851660092,1639621444323.64,,,,,,,,,,,,,,,,,,,,,,,,
1479.52107988166,1664002008471.05,,,,,,,,,,,,,,,,,,,,,,,,
1495.56726660092,1713856117353.4,,,,,,,,,,,,,,,,,,,,,,,,
1518.02370973044,1765203873575,,,,,,,,,,,,,,,,,,,,,,,,
1540.47501643655,1804721766827.16,,,,,,,,,,,,,,,,,,,,,,,,
1562.93659598948,1872560669651.61,,,,,,,,,,,,,,,,,,,,,,,,
1575.77765450362,1928663272315.78,,,,,,,,,,,,,,,,,,,,,,,,
1595.0238330046,1971840556512.63,,,,,,,,,,,,,,,,,,,,,,,,
1611.05974687705,2001161095923.09,,,,,,,,,,,,,,,,,,,,,,,,
1623.90080539119,2061116614401.66,,,,,,,,,,,,,,,,,,,,,,,,
1643.14698389218,2107259152137.68,,,,,,,,,,,,,,,,,,,,,,,,
1659.18803418803,2154434690031.88,,,,,,,,,,,,,,,,,,,,,,,,
1684.85474194609,2235419187623.24,,,,,,,,,,,,,,,,,,,,,,,,
1694.47526298488,2251977787758.59,,,,,,,,,,,,,,,,,,,,,,,,
1710.51631328074,2302393164223.1,,,,,,,,,,,,,,,,,,,,,,,,
1723.35223537147,2353937197549.98,,,,,,,,,,,,,,,,,,,,,,,,
1745.80867850099,2424462017082.32,,,,,,,,,,,,,,,,,,,,,,,,
1777.8856426693,2515596753860.92,,,,,,,,,,,,,,,,,,,,,,,,
1797.13695759369,2590964952837.02,,,,,,,,,,,,,,,,,,,,,,,,
1816.38827251808,2668591210624.88,,,,,,,,,,,,,,,,,,,,,,,,
1842.04470742932,2728333376486.76,,,,,,,,,,,,,,,,,,,,,,,,
1867.70627876397,2810075242497.91,,,,,,,,,,,,,,,,,,,,,,,,
1890.16272189349,2894266124716.74,,,,,,,,,,,,,,,,,,,,,,,,
1912.61916502301,2980979396564.72,,,,,,,,,,,,,,,,,,,,,,,,
1941.49100098619,3093033440197.58,,,,,,,,,,,,,,,,,,,,,,,,
1976.76795693623,3185701853528.43,,,,,,,,,,,,,,,,,,,,,,,,
2002.42952827087,3281146646421.71,,,,,,,,,,,,,,,,,,,,,,,,
