Reaction,Uncertainty A (unit),Uncertainty N (unit),Uncertainty Ea (unit)
C2H3 + O2 <=> H + OCHCHO,1.00E-09,1.00E-09,1.00E-09
C2H3 + O2 <=> CH2O + HCO,1.00E-09,1.00E-09,1.00E-09
C2H3 + O2 <=> CH2O + HCO,1.00E-09,1.00E-09,1.00E-09
C2H3 + O2 <=> CH2O + CO + H,1.00E-09,1.00E-09,1.00E-09
C2H3 + O2 <=> CH2O + CO + H,1.00E-09,1.00E-09,1.00E-09
C2H3 + O2 <=> CH3O + CO,1.00E-09,1.00E-09,1.00E-09
C2H3 + O2 <=> CH3O + CO,1.00E-09,1.00E-09,1.00E-09
C2H3 + O2 <=> CH3 + CO2,1.00E-09,1.00E-09,1.00E-09
C2H3 + O2 <=> CH3 + CO2,1.00E-09,1.00E-09,1.00E-09
C2H3 + CH2O <=> C2H4 + HCO,1.00E-09,1.00E-09,1.00E-09
C2H3 + CH2O <=> C2H4 + CO + H,1.00E-09,1.00E-09,1.00E-09
C2H3 + HCO <=> C2H4 + CO,1.00E-09,1.00E-09,1.00E-09
C2H3 + CH3 <=> C2H2 + CH4,1.00E-09,1.00E-09,1.00E-09
C2H3 + CH <=> C2H2 + CH2,1.00E-09,1.00E-09,1.00E-09
C2H3 + CH3OH <=> C2H4 + CH3O,1.00E-09,1.00E-09,1.00E-09
C2H3 + CH3OH <=> C2H4 + CH2OH,1.00E-09,1.00E-09,1.00E-09
2 C2H3 <=> C2H2 + C2H4,1.00E-09,1.00E-09,1.00E-09
C2H + C2H3 <=> 2 C2H2,1.00E-09,1.00E-09,1.00E-09
C2H2 + M <=> C2H + H + M,1.00E-09,1.00E-09,1.00E-09
C2H2 (+M) <=> H2CC (+M),1.00E-09,1.00E-09,1.00E-09
C2H + H2 <=> C2H2 + H,1.00E-09,1.00E-09,1.00E-09
C2H2 + O <=> H + HCCO,1.00E-09,1.00E-09,1.00E-09
C2H2 + O <=> CH2 + CO,1.00E-09,1.00E-09,1.00E-09
C2H2 + OH <=> CH3 + CO,1.00E-09,1.00E-09,1.00E-09
C2H2 + OH <=> H + HCCOH,1.00E-09,1.00E-09,1.00E-09
C2H2 + OH <=> CHCHOH,1.00E-09,1.00E-09,1.00E-09
C2H2 + OH <=> CHCHOH,1.00E-09,1.00E-09,1.00E-09
C2H2 + OH <=> CH2CO + H,1.00E-09,1.00E-09,1.00E-09
C2H2 + OH <=> C2H + H2O,1.00E-09,1.00E-09,1.00E-09
C2H2 + HO2 <=> CH2CHOO,1.00E-09,1.00E-09,1.00E-09
C2H2 + HO2 <=> CH2CHOO,1.00E-09,1.00E-09,1.00E-09
C2H2 + HO2 <=> CHCHO + OH,1.00E-09,1.00E-09,1.00E-09
C2H2 + HO2 <=> CHCHO + OH,1.00E-09,1.00E-09,1.00E-09
C2H2 + HO2 <=> CH2CO + OH,1.00E-09,1.00E-09,1.00E-09
C2H2 + HO2 <=> CH2CO + OH,1.00E-09,1.00E-09,1.00E-09
C2H2 + HO2 <=> CH2CHO + O,1.00E-09,1.00E-09,1.00E-09
C2H2 + HO2 <=> CH2CHO + O,1.00E-09,1.00E-09,1.00E-09
C2H2 + HO2 <=> H + OCHCHO,1.00E-09,1.00E-09,1.00E-09
C2H2 + HO2 <=> H + OCHCHO,1.00E-09,1.00E-09,1.00E-09
C2H2 + HO2 <=> CH2O + HCO,1.00E-09,1.00E-09,1.00E-09
C2H2 + HO2 <=> CH2O + HCO,1.00E-09,1.00E-09,1.00E-09
C2H2 + HO2 <=> CH2O + CO + H,1.00E-09,1.00E-09,1.00E-09
C2H2 + HO2 <=> CH2O + CO + H,1.00E-09,1.00E-09,1.00E-09
C2H2 + HO2 <=> CH3O + CO,1.00E-09,1.00E-09,1.00E-09
C2H2 + HO2 <=> CH3O + CO,1.00E-09,1.00E-09,1.00E-09
C2H2 + HO2 <=> CH3 + CO2,1.00E-09,1.00E-09,1.00E-09
C2H2 + HO2 <=> CH3 + CO2,1.00E-09,1.00E-09,1.00E-09
C2H2 + O2 <=> 2 HCO,1.00E-09,1.00E-09,1.00E-09
C2H2 + O2 <=> 2 HCO,1.00E-09,1.00E-09,1.00E-09
C2H2 + O2 <=> CO + H + HCO,1.00E-09,1.00E-09,1.00E-09
C2H2 + O2 <=> CO + H + HCO,1.00E-09,1.00E-09,1.00E-09
C2H2 + O2 <=> 2 CO + 2 H,1.00E-09,1.00E-09,1.00E-09
C2H2 + CH2(S) <=> C2H2 + CH2,1.00E-09,1.00E-09,1.00E-09
H + H2CC <=> C2H2 + H,1.00E-09,1.00E-09,1.00E-09
H2CC + OH <=> CH2CO + H,1.00E-09,1.00E-09,1.00E-09
H2CC + O2 <=> CH2 + CO2,1.00E-09,1.00E-09,1.00E-09
C2 + H2 <=> C2H + H,1.00E-09,1.00E-09,1.00E-09
C2H + O <=> CH + CO,1.00E-09,1.00E-09,1.00E-09
C2H + OH <=> H + HCCO,1.00E-09,1.00E-09,1.00E-09
C2H + OH <=> C2 + H2O,1.00E-09,1.00E-09,1.00E-09
C2H + O2 <=> 2 CO + H,1.00E-09,1.00E-09,1.00E-09
C2H + CH4 <=> C2H2 + CH3,1.00E-09,1.00E-09,1.00E-09
C2 + M <=> 2 C + M,1.00E-09,1.00E-09,1.00E-09
C2 + O <=> C + CO,1.00E-09,1.00E-09,1.00E-09
C2 + OH <=> C2O + H,1.00E-09,1.00E-09,1.00E-09
C2 + O2 <=> 2 CO,1.00E-09,1.00E-09,1.00E-09
CH3CH2OH <=> CH2OH + CH3,1.00E-09,1.00E-09,1.00E-09
